real,brigthnessMax,motionMax,sleepMax,brigthnessMin,motionMin,sleepMin,brigthnessMedian,motionMedian,sleepMedian,brigthnessAverage,motionAverage,sleepAverage
1,3,5,96,1,1,5,1,1,80,1,1,80
1,1,5,95,1,1,60,1,2,84,1,2,84
1,3,5,95,1,1,32,1,2,78,1,2,78
1,1,5,95,1,1,60,1,2,88,1,2,88
1,1,5,95,1,1,51,1,2,79,1,2,79
1,3,5,92,1,1,32,1,3,76,1,3,76
1,1,4,95,1,1,77,1,1,91,1,1,91
1,1,4,97,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,77,1,1,90,1,1,90
1,1,4,95,1,1,87,1,1,92,1,1,92
1,1,4,97,1,1,86,1,1,93,1,1,93
1,1,4,95,1,1,69,1,1,91,1,1,91
1,1,4,97,1,1,77,1,2,91,1,2,91
1,1,4,95,1,1,69,1,1,91,1,1,91
1,1,4,95,1,1,86,1,1,92,1,1,92
1,1,4,97,1,1,77,1,2,90,1,2,90
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,5,94,1,1,40,1,3,78,1,3,78
1,1,5,95,1,1,66,1,2,83,1,2,83
1,1,5,95,1,1,40,1,2,80,1,2,80
1,1,5,94,1,1,53,1,3,82,1,3,82
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,4,97,1,1,85,1,1,92,1,1,92
1,1,5,95,1,1,66,1,2,85,1,2,85
1,1,4,95,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,85,1,1,92,1,1,92
1,1,4,95,1,1,76,1,2,88,1,2,88
1,1,4,97,1,1,83,1,1,93,1,1,93
1,1,4,95,1,1,76,1,2,87,1,2,87
1,1,4,95,1,1,80,1,1,90,1,1,90
1,1,4,97,1,1,83,1,1,94,1,1,94
1,1,4,95,1,1,72,1,2,88,1,2,88
1,1,3,97,1,1,91,1,1,94,1,1,94
1,1,4,95,1,1,72,1,2,89,1,2,89
1,1,4,95,1,1,80,1,2,90,1,2,90
1,1,3,97,1,1,92,1,1,94,1,1,94
1,1,4,95,1,1,62,1,1,88,1,1,88
1,1,4,97,1,1,78,1,2,90,1,2,90
1,1,4,95,1,1,62,1,1,88,1,1,88
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,4,97,1,1,84,1,1,91,1,1,91
1,1,5,95,1,1,47,1,2,79,1,2,79
1,1,5,97,1,1,5,1,2,78,1,2,78
1,1,5,95,1,1,47,1,2,77,1,2,77
1,1,5,95,1,1,43,1,2,78,1,2,78
1,1,5,97,1,1,5,1,2,81,1,2,81
1,1,4,95,1,1,80,1,1,89,1,1,89
1,1,4,97,1,1,77,1,2,89,1,2,89
1,1,4,95,1,1,80,1,2,88,1,2,88
1,1,4,97,1,1,80,1,1,92,1,1,92
1,1,4,97,1,1,77,1,2,88,1,2,88
1,1,6,95,1,1,44,1,2,87,1,2,87
1,1,5,95,1,1,58,1,2,82,1,2,82
1,1,6,95,1,1,44,1,2,85,1,2,85
1,1,4,95,1,1,83,1,2,90,1,2,90
1,1,5,91,1,1,58,1,3,78,1,3,78
1,1,4,95,1,1,82,1,1,91,1,1,91
1,2,4,97,1,1,69,1,1,91,1,1,91
1,1,4,95,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,83,1,1,92,1,1,92
1,2,4,97,1,1,69,1,1,90,1,1,90
1,1,5,95,1,1,62,1,2,86,1,2,86
1,1,5,97,1,1,5,1,2,82,1,2,82
1,1,5,95,1,1,62,1,2,85,1,2,85
1,1,5,95,1,1,66,1,2,86,1,2,86
1,1,5,97,1,1,5,1,2,82,1,2,82
1,1,5,95,1,1,66,1,2,87,1,2,87
1,2,5,94,1,1,57,1,2,79,1,2,79
1,1,5,95,1,1,66,1,2,88,1,2,88
1,1,5,95,1,1,63,1,2,85,1,2,85
1,2,5,94,1,1,57,1,2,77,1,2,77
1,1,5,94,1,1,54,1,3,81,1,3,81
1,3,6,95,1,1,34,1,3,70,1,3,70
1,1,5,94,1,1,66,1,3,83,1,3,83
1,1,5,95,1,1,54,1,3,80,1,3,80
1,3,6,88,1,1,34,1,3,65,1,3,65
1,1,4,95,1,1,75,1,2,88,1,2,88
1,3,4,93,1,1,19,1,2,67,1,2,67
1,1,4,95,1,1,75,1,2,89,1,2,89
1,1,4,91,1,1,82,1,2,86,1,2,86
1,3,4,93,1,1,19,1,2,59,1,2,59
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,97,1,1,81,1,2,91,1,2,91
1,1,4,95,1,1,83,1,1,91,1,1,91
1,1,4,97,1,1,82,1,1,91,1,1,91
1,1,4,97,1,1,81,1,1,92,1,1,92
1,1,4,95,1,1,55,1,1,91,1,1,91
1,1,4,97,1,1,83,1,2,92,1,2,92
1,1,4,95,1,1,55,1,1,90,1,1,90
