real,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3,brigthness4,motion4,sleep4,brigthness5,motion5,sleep5,brigthness6,motion6,sleep6,brigthness7,motion7,sleep7,brigthness8,motion8,sleep8,brigthness9,motion9,sleep9,brigthness10,motion10,sleep10,brigthness11,motion11,sleep11,brigthness12,motion12,sleep12,brigthness13,motion13,sleep13,brigthness14,motion14,sleep14,brigthness15,motion15,sleep15,brigthness16,motion16,sleep16,brigthness17,motion17,sleep17,brigthness18,motion18,sleep18,brigthness19,motion19,sleep19,brigthness20,motion20,sleep20,brigthness21,motion21,sleep21,brigthness22,motion22,sleep22,brigthness23,motion23,sleep23


1,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,1,95,1,1,95,1,1,95,1,1,95,1,1,87,1,1,87,1,1,84,2,6,11
0,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,1,95,2,6,11
0,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,90,2,6,11
0,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,2,6,11
1,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,2,6,11
0,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,1,3,92,2,6,11
0,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,3,92,1,3,92,2,6,11
0,1,5,66,1,5,66,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
1,1,1,75,1,1,75,1,5,66,1,5,66,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
1,1,1,82,1,1,75,1,1,75,1,5,66,1,5,66,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,2,6,11
0,1,1,82,1,1,82,1,1,82,1,1,82,1,1,82,1,1,75,1,1,75,1,5,66,1,5,66,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,1,89,1,2,90,1,4,87,1,4,87,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,2,6,11
0,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,82,1,1,82,1,1,82,1,1,82,1,1,82,1,1,75,1,1,75,1,5,66,2,6,11
0,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,82,1,1,82,2,6,11
0,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,4,88,1,4,88,1,4,86,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,4,77,1,4,77,1,4,88,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,4,77,1,4,77,1,4,77,1,4,77,1,4,88,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,3,88,1,3,88,1,4,77,1,4,77,1,4,77,1,4,77,1,4,88,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,2,6,11
0,1,1,89,1,1,89,1,3,88,1,3,88,1,4,77,1,4,77,1,4,77,1,4,77,1,4,88,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,2,6,11
0,1,4,86,1,4,86,1,1,89,1,1,89,1,3,88,1,3,88,1,4,77,1,4,77,1,4,77,1,4,77,1,4,88,1,4,86,1,4,86,1,3,93,1,3,93,1,3,93,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,2,6,11

0,1,6,7,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,9,2,6,9,2,6,8,2,6,8,2,1,93,2,5,19,2,5,19,2,6,3,2,3,59,2,6,13,2,6,4,2,6,4,1,4,40,1,6,3,2,5,13,2,6,1,1,6,6,4,6,5
0,1,3,58,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,9,2,6,9,2,6,9,2,6,8,2,1,93,1,6,8,2,5,19,2,6,3,2,3,59,2,3,59,2,6,13,2,6,4,1,4,40,1,6,3,2,5,13,2,6,1,1,6,6
0,1,3,77,1,3,58,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,9,2,6,9,2,6,9,2,6,8,2,1,93,1,6,8,2,5,19,2,6,3,2,3,59,2,3,59,2,6,13,2,6,4,1,4,40,1,6,3,2,5,13,2,6,1
0,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9,2,6,8,2,1,93,1,1,95,2,5,19,2,6,3,2,3,59,2,3,59,2,6,13,2,6,4,1,4,40,1,6,3,2,5,13
1,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9,2,6,8,2,1,93,1,1,95,2,5,19,2,6,3,2,3,59,2,3,59,2,6,13,2,6,4,1,4,40
1,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9,2,6,8,2,1,93,1,1,95,2,5,19,2,6,3,2,3,59,2,3,59,2,6,13
1,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9,2,6,8,2,1,93,1,1,95,2,5,19
1,1,2,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,9,2,6,16,2,6,9,2,6,9,2,6,8,2,1,93,2,1,93
1,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9,2,6,8
1,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,16,2,6,9,2,6,9
0,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,3,77,1,3,58,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16,2,6,9
0,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11,2,6,9,2,6,16
0,1,1,94,1,1,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58,1,6,7,2,5,11,2,5,11
0,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90,1,4,83,1,4,83,1,3,77,1,3,58
0,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90,1,3,90
0,1,1,91,1,1,91,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91,1,3,90
1,1,3,91,1,3,91,1,1,91,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91,1,2,91
1,1,2,93,1,2,93,1,3,91,1,1,91,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92,1,2,91
1,1,1,92,1,1,92,1,2,93,1,3,91,1,1,91,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,94,1,1,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,2,94,1,1,92,1,1,92,1,1,92,1,1,92
0,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,92,1,1,92,1,2,93,1,3,91,1,1,91,1,3,90,1,3,90,1,3,90,1,3,91
1,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,92,1,1,92,1,2,93,1,3,91,1,1,91,1,3,90
1,1,1,94,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,92,1,2,93,1,3,91
0,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,92,1,2,93
0,1,2,94,1,2,94,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,92
0,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94
0,1,1,89,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,94,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94
1,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94
0,1,1,84,1,1,84,1,1,84,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94
0,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94,1,1,94,1,1,94,1,1,94,1,1,94,1,1,94
0,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94,1,2,94,1,2,94
0,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94,1,1,94,1,2,94
0,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80,1,4,80,1,1,89,1,4,86,1,4,86,1,2,94,1,1,95,1,1,95,1,1,94
0,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80,1,1,89
1,1,4,86,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84,1,1,84,1,4,80
0,1,3,91,1,3,91,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84,1,1,84
0,1,1,89,1,1,89,1,3,91,1,4,86,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91,1,3,91,1,1,84
0,1,3,92,1,3,92,1,1,89,1,3,91,1,3,91,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91,1,3,91
0,1,4,89,1,4,89,1,3,92,1,1,89,1,1,89,1,3,91,1,4,86,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90,1,3,90,1,3,91
0,1,4,84,1,4,84,1,4,89,1,4,89,1,3,92,1,1,89,1,1,89,1,3,91,1,4,86,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90,1,3,90
0,1,3,88,1,3,88,1,4,84,1,4,84,1,4,89,1,3,92,1,3,92,1,1,89,1,3,91,1,4,86,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90,1,3,90,1,3,90
0,1,3,90,1,3,90,1,3,88,1,4,84,1,4,84,1,4,89,1,3,92,1,3,92,1,1,89,1,3,91,1,3,91,1,4,86,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,93,1,1,90,1,1,90,1,3,91,1,3,91,1,3,90

0,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7,2,6,8,2,6,5,2,6,5,2,6,2,1,6,5,1,6,4,2,5,28,2,6,7,1,6,7,1,6,4,2,5,28
0,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7,2,6,8,2,6,5,2,6,5,2,6,2,1,6,5,1,6,4,2,5,28,2,6,7,1,6,7
1,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7,2,6,8,2,6,5,2,6,5,2,6,2,1,6,5,1,6,4,2,5,28,2,6,7
1,1,3,88,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,2,6,3,1,5,13,2,6,7,2,6,8,2,6,5,2,6,5,2,6,2,1,6,5,1,6,4,2,5,28
1,1,3,90,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,31,1,6,5,1,6,5,1,6,4,2,6,23,2,6,1,1,6,9,2,6,3,2,6,3,1,5,13,2,6,7,2,6,7,2,6,8,2,6,5,2,6,2,1,6,5,1,6,4
1,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7,2,6,8,2,6,5,2,6,5,2,6,2
1,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7,2,6,8,2,6,5
1,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3,1,5,13,1,5,13,2,6,7
0,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23,2,6,1,2,6,1,1,6,9,2,6,3
0,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60,1,4,31,1,6,5,1,6,4,2,6,23
1,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,3,90,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,31,1,6,5,1,6,4
1,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,3,90,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,31,1,6,5
1,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,4,78,1,3,88,1,3,88,1,4,60,1,4,60
1,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,3,90,1,3,88,1,3,88,1,4,78,1,3,88,1,3,88
1,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,91,1,1,91,1,1,91,1,1,91,1,3,90
0,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95
1,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83
1,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83
1,1,1,95,1,1,95,1,1,95,1,1,95,1,4,83,1,4,83,1,4,83,1,4,83,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95,1,1,95
